title,description,long_description,image,creator_id,tags,genres,ai_tools,is_multiplayer,iframe_url,github_url,creator_x_url,how_to_play
LLMMMO,A text-based MMORPG where language mastery is your greatest weapon.,"LLMMMO immerses players in a vast online world where communication drives action. Engage in quests, form alliances, and battle foes using text commands, emphasizing strategy and linguistic skill.",,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,LLMMMO,,https://x.com/thomazvu/status/1905075237454229623,"Navigate the game world by typing commands to interact with characters, objects, and other players. Success depends on clear and strategic communication."
AstroDash,Navigate your spaceship through treacherous asteroid fields at breakneck speeds.,"AstroDash challenges players to pilot a spacecraft, dodging obstacles and collecting power-ups across procedurally generated space environments. Quick reflexes and precise control are essential to survive and achieve high scores.",,c9456de6-123b-4099-a528-2b101e39f434,Racing,Racing,Calude 3.5,FALSE,AstroDash,,https://x.com/gobienan/status/1903927622007963663,"Use arrow keys or touch controls to steer your ship, avoiding asteroids and collecting items to boost your score and survivability."
Necropolis: Rise of the Undead,Command an undead army to conquer the living and expand your dark empire.,"In Necropolis, players assume the role of a necromancer, raising and commanding undead forces to battle human settlements. Strategic resource management and tactical combat are key to dominating the realm.",https://aibuiltgames.com/images/necropolis-rise-of-the-undead.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Necropolis: Rise of the Undead - Zombie FPS Game,,PeakGrizzly (@PeakGrizzly) / X,"Utilize mouse clicks or touch inputs to summon units, direct attacks, and manage resources. Balance offense and defense to overcome increasingly challenging enemies."
Neon Trailblazer,Illuminate the digital void by creating neon trails in a cybernetic landscape.,"Neon Trailblazer combines fast-paced racing with puzzle elements. Players control a light-emitting vehicle, crafting paths to solve challenges and outmaneuver adversaries in a vibrant, neon-lit world.",https://aibuiltgames.com/images/neon-trailblazer.png,c9456de6-123b-4099-a528-2b101e39f434,Racing,Racing,Calude 3.5,FALSE,Neon Trailblazer,,https://x.com/DmitryMakelove,"Control your vehicle using WASD keys or swipe gestures, creating trails to complete puzzles and block opponents while avoiding collisions."
Bubble Basher,"Pop, dodge, and bash your way through bubble mayhem.","Bubble Basher offers players a fun and frantic experience, requiring them to burst bubbles of various sizes and speeds before they overwhelm the screen. Power-ups and combos enhance the excitement.",https://aibuiltgames.com/images/bubble-basher.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Bubble Basher,,https://x.com/JonathanACaruso,"Click or tap on bubbles to pop them, aiming for streaks to build combos. Utilize power-ups strategically to manage the increasing bubble influx."
Flight Simulator 2025,Experience the future of aviation with cutting-edge flight simulation technology.,"Flight Simulator 2025 provides an ultra-realistic piloting experience, featuring next-gen aircraft, dynamic weather systems, and global navigation. Aspiring pilots can hone their skills in various scenarios and challenges.",https://aibuiltgames.com/images/flight.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,TRUE,fly.pieter.com,,@levelsio (@levelsio) / X,"Use a combination of keyboard controls and mouse inputs to operate the aircraft's systems, following on-screen prompts and tutorials to master takeoffs, flights, and landings."
Dogfight Arena,Engage in high-octane aerial combat against skilled pilots worldwide.,"Dogfight Arena is a multiplayer flight combat game where players pilot fighter jets in intense dogfights. Customize your aircraft, execute tactical maneuvers, and climb the global leaderboard.",https://aibuiltgames.com/images/dogfight-arena.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,TRUE,WW2 Dogfight Arena,,https://x.com/NicolasZu,"Control your jet using joystick or tilt controls, firing weapons and deploying countermeasures with designated buttons. Team coordination and sharp reflexes are vital for victory."
Type Battles,Outtype your opponents to unleash devastating attacks in this typing duel.,"Type Battles transforms typing speed and accuracy into combat prowess. Players face off by typing words or phrases, with faster and more precise typists dealing greater damage to their adversaries.",https://aibuiltgames.com/images/type-battles.png,c9456de6-123b-4099-a528-2b101e39f434,Puzzle,Puzzle,Calude 3.5,TRUE,Type Battles: Free Speed Typing Game,,Edwin Hayward (@edwinhayward) / X,"Type the prompted words or sentences as quickly and accurately as possible to attack your opponent. Mistakes reduce damage output, so precision is key."
Mars Landing Simulator,Master the art of landing spacecraft on the challenging Martian terrain.,"Mars Landing Simulator tasks players with safely landing various spacecraft on Mars, accounting for gravity, wind, and surface conditions. Each mission increases in difficulty, testing piloting skills to the limit.",https://aibuiltgames.com/images/mars-landing-simulator.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,Mars Simulation with Simplified Cities,,https://x.com/hi_itsbey,"Adjust thrust and angle using on-screen controls to guide your lander to a safe touchdown, monitoring speed and fuel levels carefully."
The Agency,Navigate a world of espionage and intrigue as an elite secret agent.,"In The Agency, players undertake covert missions, utilizing stealth, gadgets, and combat skills to achieve objectives. Choices impact the storyline, leading to multiple endings.",https://aibuiltgames.com/images/the-agency.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,The Agency,,Joshua Scott Edwards ☀️ (@JoshSEdwards) / X,"Use keyboard and mouse controls to move, interact, and engage in combat. Pay attention to mission briefings and adapt strategies to complete objectives without detection."
Snake Trae,A modern twist on the classic snake game with new challenges and mechanics.,"Snake Trae reinvents the traditional snake gameplay by introducing obstacles, power-ups, and varied level designs. Players must navigate their growing snake while avoiding collisions and collecting items.",https://aibuiltgames.com/images/snake-trae.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,trae,,https://x.com/traemikal,"Control the snake's direction using arrow keys or swipe gestures, aiming to collect food and power-ups while avoiding walls and the snake's own tail."
Asteroid Assult,"Step into the world of 'Asteroid Assult', where genre boundaries blur and gameplay surprises.","Asteroid Assult delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/asteroid-assault.png,c9456de6-123b-4099-a528-2b101e39f434,Shooter,Shooter,Calude 3.5,FALSE,Asteroid Assault,,NoFlinch (@NoFlinch) / X,"Play 'Asteroid Assult' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Star Wing,"Step into the world of 'Star Wing', where genre boundaries blur and gameplay surprises.","Star Wing delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/star-wing.png,c9456de6-123b-4099-a528-2b101e39f434,Simulation,Simulation,Calude 3.5,FALSE,Star Wing,,https://x.com/drosshole,"Play 'Star Wing' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
Arcade City,"Step into the world of 'Arcade City', where genre boundaries blur and gameplay surprises.","Arcade City delivers a one-of-a-kind browser experience, combining unexpected mechanics, striking visuals, and clever design choices. Each session offers a new twist, keeping players curious and engaged from the first click to the final challenge.",https://aibuiltgames.com/images/arcade-city.png,c9456de6-123b-4099-a528-2b101e39f434,Arcade,Arcade,Calude 3.5,FALSE,Arcade,,https://x.com/0xRome,"Play 'Arcade City' using your mouse or keyboard. Each level introduces new mechanics, so pay attention to hints and experiment with interactions to uncover hidden layers of the game."
